unit,direction,k,si,si_z,p,peak_rate,peak_pos,mean_rate,width,sparsity,contrast,participation,stability,n_spikes
103,leftward,54,0.5826498113077136,7.666310849826458,0.0,4.333082535229785,146.0,1.2557071134986992,32.0,0.518054550791469,4.670691691429739,0.717948717948718,0.9688087273559047,117.0
112,leftward,59,2.0282779083179028,35.852120933929896,0.0,41.84109584254273,10.0,6.8749623621072775,24.0,0.20951379988788732,30.727389409594196,0.975609756097561,0.9983506664750939,650.0
113,leftward,60,0.6347907458483981,24.729056249766458,0.0,18.551517228188033,18.0,8.431110983647516,84.0,0.6029912195095726,8.942629739264154,1.0,0.9752856391579049,788.0
114,leftward,61,1.333610275134498,23.542005975119867,0.0,12.440655774652715,138.0,3.3414528262531533,44.0,0.33704813923029125,19.31429972422439,0.9512195121951219,0.9782769249412244,311.0
116,leftward,62,0.7085109871041629,22.8856866004389,0.0,8.923266479684097,26.0,2.794647511331684,40.0,0.48319720585472886,6.438889838905518,0.8780487804878049,0.9815275634565128,260.0
118,leftward,64,0.79123438851833,24.67158082224699,0.0,16.605053080395454,90.0,5.486797816099757,48.0,0.49590863906250776,5.115101500281698,1.0,0.9795832246785947,511.0
123,leftward,67,0.7206152164293895,21.603383871736412,0.0,27.664505400113182,38.0,8.201388297216386,36.0,0.4801997317427032,5.523267330884777,1.0,0.954780426415765,764.0
125,leftward,68,0.26674261207487737,19.1460708307194,0.0,9.699117725746676,150.0,4.792026849763964,28.0,0.7541447268941718,2.0137714226470695,0.8974358974358975,0.9525566358953947,447.0
129,leftward,70,0.13834943552888943,3.518497760359121,0.002997002997002997,2.428271500785429,34.0,1.147757635637223,28.0,0.8403542601118267,1.8301015099616251,0.5365853658536586,0.27870072507360893,106.0
137,leftward,73,0.7772104007751087,20.98856316562797,0.0,22.532524045376327,58.0,7.2285494744372745,48.0,0.486967087838934,5.669903714375552,1.0,0.9551246622628145,674.0
143,leftward,75,1.2470175479408545,6.79738999007237,0.0,5.0437942505022875,62.0,1.1094989229531014,24.0,0.34964113758653786,7.641378836566916,0.14634146341463414,0.9105706260396368,102.0
145,leftward,77,1.2600944639818534,20.95552112585578,0.0,21.338366971726824,122.0,5.1970260100911325,40.0,0.3425222012286191,10.95534552762334,1.0,0.9795205316213537,484.0
146,leftward,78,0.20523689615410406,11.597999772548672,0.0,5.413142102733277,150.0,3.127523599793223,120.0,0.8168603748204843,4.010067003520876,0.975609756097561,0.8702155727963111,293.0
148,leftward,80,0.39004618797054924,8.499827947266741,0.0,2.4633707571825694,38.0,1.1100311942203023,48.0,0.6855337647407495,2.7020344928431164,0.7317073170731707,0.646334729462481,103.0
163,leftward,83,0.43044855043618446,17.430149280452763,0.0,5.507568969657618,118.0,2.028026111570407,44.0,0.6219567516426091,3.4752954691540667,0.9024390243902439,0.9067402297428806,188.0
171,leftward,86,0.9637984877235379,9.118972384436484,0.0,1.9054312442187487,158.0,0.5406402730641463,12.0,0.424826736114339,3.2192394766332275,0.1111111111111111,0.7674628817226183,51.0
173,leftward,88,1.3410432677216693,15.698351790555115,0.0,19.12486323069675,66.0,4.661362817026081,40.0,0.3367877621340432,12.782698764953086,0.9512195121951219,0.9981607689169844,435.0
176,leftward,90,0.13055267586593133,8.774034690471355,0.0,7.138450738230225,134.0,3.4770214914037734,52.0,0.8393572198448316,2.100797886505272,0.975609756097561,0.6215950853507073,326.0
