slope,phi0,rho,R,n,p,session,unit,direction,peak,si,lo,width,n_runs,n_passes,maze,track_len,circular
-0.3900000000000001,1.4924537627514922,-0.6056827283258494,0.6622602729591516,115,0.004975124378109453,Buddy-06272013,17,1,8.142849508188947,0.7757717362057499,0.56,0.6,36,23,1.6mLinearMaze,1.6,False
-0.29000000000000004,1.6256944782096368,-0.5159344677404872,0.7793063560275426,66,0.004975124378109453,Buddy-06272013,7,-1,3.8415823549052273,0.7139895095717994,0.32,0.72,39,25,1.6mLinearMaze,1.6,False
0.050000000000000266,0.7055102795086099,0.08481324764796078,0.6172467664504643,57,0.5422885572139303,Buddy-06272013,17,-1,3.114836395654669,0.6815040392442373,0.76,0.56,39,22,1.6mLinearMaze,1.6,False
-0.5699999999999998,-1.8093907430849678,-0.5585307706627333,0.46935751211040844,754,0.004975124378109453,Cicero-09012014,28,1,19.642122251500506,0.8946371277905145,0.52,0.44,113,53,1.6mLinearMaze,1.6,False
-0.5,-2.859516876213588,-0.29058454791941213,0.2203417494169531,218,0.004975124378109453,Cicero-09012014,65,1,5.687900816380396,0.9150270514540162,0.64,0.44,113,47,1.6mLinearMaze,1.6,False
1.13,-3.0208466489066357,-0.19142885491265593,0.1496079060833608,444,0.004975124378109453,Cicero-09012014,15,-1,10.612630157940757,0.5909499501011888,0.92,0.56,102,63,1.6mLinearMaze,1.6,False
-0.5499999999999998,-1.716768558445448,-0.45137547255911054,0.38804800804253975,387,0.004975124378109453,Cicero-09012014,28,-1,9.16514521176157,0.7509964147167504,0.56,0.48,102,50,1.6mLinearMaze,1.6,False
-0.3700000000000001,-2.4535994699745394,-0.2807429331887889,0.31850362859998926,65,0.05970149253731343,Cicero-09012014,32,-1,1.0706190122414931,0.7311554944984242,0.84,0.64,102,31,1.6mLinearMaze,1.6,False
-0.14000000000000012,1.586427980413568,-0.07413482829343787,0.30392884735892145,223,0.263681592039801,Cicero-09012014,54,-1,4.144311024590728,0.641371008644314,0.52,0.72,102,58,1.6mLinearMaze,1.6,False
-0.56,2.985869396817033,-0.2596164880784169,0.32154310849708484,52,0.13930348258706468,Cicero-09012014,56,-1,1.372350532448224,0.777330768395339,0.8,0.52,102,31,1.6mLinearMaze,1.6,False
-0.6099999999999999,-2.7604773932839386,-0.2782052427132203,0.384161042374046,337,0.004975124378109453,Cicero-09102014,0,-1,10.181217687072005,1.0675072098170495,2.52887323943662,0.32,258,52,CircularMaze,2.85,True
-0.71,-2.1286614461227553,-0.22161276871117727,0.23970670686568682,882,0.004975124378109453,Cicero-09102014,2,-1,30.45839121453571,2.169008486764937,2.007042253521127,0.32,258,58,CircularMaze,2.85,True
-1.4,-0.255361438242263,-0.17885013380439296,0.3075850445919234,219,0.009950248756218905,Cicero-09102014,3,-1,5.665425142503292,1.7341622637589291,1.1640845070422536,0.4,258,73,CircularMaze,2.85,True
