,gOSI,OSI,pref_ori,gDSI,DSI,pref_dir,anova_F,anova_p,gOSI_p,gOSI_null_mean,peak_rate,mean_rate,area,session,responsive
sub-707296975_ses-721123822_950908414,0.2697546111275923,0.4492451207360141,154.8592419954149,,,,157.81728324520333,1.0984833107621778e-157,0.001996007984031936,0.013160000119431173,19.46087896741763,12.498628826022722,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908416,0.05662488699487747,0.13147501337591538,11.123208963395108,,,,9.364710902467715,6.70339063267382e-09,0.001996007984031936,0.011517395735405972,4.452926734874784,3.8599059058819356,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908418,0.0725460949225693,0.12245843902682406,120.47265896898476,,,,12.79237035974069,2.1574711552459745e-12,0.001996007984031936,0.012035945209302807,6.482353024156435,5.754825095420974,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908420,0.04735223449710946,0.09613083242635086,144.9396759422443,,,,8.3028908857409,7.872294322765261e-08,0.001996007984031936,0.012078217774268752,9.069004214325368,8.115164582453767,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908422,0.2467111841243125,0.4654359419379303,94.0200596643202,,,,209.93825763972447,2.2413492614451246e-206,0.001996007984031936,0.011867113113659424,11.161098938513096,6.10233526741301,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908424,0.09388466098597968,0.18683473357257446,30.161057951141665,,,,40.3394339786581,6.500087453298432e-41,0.001996007984031936,0.008283521231480096,25.397310184483473,21.287730131061004,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908426,0.03944740588290942,0.04624626143181411,100.84147039327941,,,,4.023112634825202,0.0012041597551145226,0.005988023952095809,0.014685880471771561,8.649852507625187,7.840415524511877,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908432,0.18503575609984774,0.337317712472338,3.6272142953571933,,,,35.81975374633284,3.0898830004188306e-36,0.001996007984031936,0.021196871476918084,3.7014807178239684,2.2102025691692844,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908438,0.33956697279524806,0.5340938434860174,161.42877684341934,,,,54.01041163882887,5.383281279081049e-55,0.001996007984031936,0.0273971625300059,3.1840605763343097,1.787019196712522,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908444,0.03838813592612278,0.10776738077227639,40.2745016784237,,,,2.1706640411343834,0.054520741998162134,0.10778443113772455,0.022677768076503606,1.456727438260202,1.2845125331738554,VISp,sub-707296975_ses-721123822,False
sub-707296975_ses-721123822_950908446,0.06419557508168207,0.08117582597741844,175.7464888676767,,,,20.407295833386325,2.987695933184999e-20,0.001996007984031936,0.014280612355636036,6.148381603305626,4.840370747926488,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908448,0.083307712418262,0.16356594929579163,56.50193824831585,,,,31.13647276507977,2.210240115822315e-31,0.001996007984031936,0.008695016029537768,12.492174056241712,10.317256665091668,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908452,0.23160593086978282,0.42407104889472,161.3470411936169,,,,102.32406876971028,9.335820849008705e-104,0.001996007984031936,0.013761532241772758,8.076233363167628,5.1496483114817755,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908460,0.07475036448784517,0.1342509773925576,85.54932663338005,,,,21.02551908667207,6.83312239753135e-21,0.001996007984031936,0.009940758661827044,8.8673169849105,7.450025880316041,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908466,0.07964282819921477,0.14835397825188174,110.23038915871079,,,,8.593693172561718,4.0167883664508635e-08,0.001996007984031936,0.01659864944933678,8.978083603456746,7.326194852128999,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908475,0.23833933767750148,0.4259637802826071,7.692727219317028,,,,168.11987811008862,1.8586839105273037e-167,0.001996007984031936,0.01157082499733856,8.796657095408843,5.485754661529704,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908479,0.189954630471213,0.3044139213821974,70.67107940654857,,,,193.94424825433506,1.2488270428189207e-191,0.001996007984031936,0.008276535751001231,32.07582922814144,23.47510958246605,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908482,0.08572159388155848,0.18294733266579127,5.1109905354375424,,,,71.12581822340975,1.8549091619620959e-72,0.001996007984031936,0.006004129328748975,17.917795685341293,15.415107801308904,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908485,0.11878462083335876,0.17287968574167617,41.727806620456484,,,,55.80700189091039,7.741248501886318e-57,0.001996007984031936,0.009319316741596785,8.595120325951838,6.999234715002321,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908489,0.029539861008840828,0.06477089826045766,86.74366289102943,,,,135.12306944850033,6.7370512279609994e-136,0.001996007984031936,0.006397899460223235,32.33432458998915,24.45421423981939,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908496,0.06537863349955882,0.13121317247000247,161.8082376637416,,,,19.427073533858636,3.095565053236532e-19,0.001996007984031936,0.008463565939793678,11.077877308646956,9.964480169335095,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908501,0.03611880342514355,0.07724958187302113,168.1045676862212,,,,26.653731428041215,9.903226157608892e-27,0.001996007984031936,0.006311629717070472,12.632235939739482,11.40776787718226,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908504,0.07139826048709981,0.16907873167417886,102.54961717378688,,,,54.6956157060328,1.067063282801108e-55,0.001996007984031936,0.007597894192179439,13.311239720842275,10.37222356737496,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908507,0.0617883033160303,0.12299274108311742,112.85018175801477,,,,50.765167559464324,1.1585392455669797e-51,0.001996007984031936,0.005132325811455908,18.296934810586137,16.018762889510622,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908511,0.014761776066946305,0.028828443586382282,64.95281602403305,,,,2.017456025032091,0.07296904599632584,0.059880239520958084,0.00784837666560967,9.271597987543476,8.82112246197291,VISp,sub-707296975_ses-721123822,False
sub-707296975_ses-721123822_950908518,0.03320317180433838,0.03226090838375631,92.51959487700749,,,,11.05838081505849,1.2783449655194735e-10,0.001996007984031936,0.006183433606290494,14.652853612169647,13.827758902538497,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908525,0.044447948895317564,0.0937296739001389,83.77666372250155,,,,4.403875695720745,0.0005274267220270586,0.001996007984031936,0.012717923120034575,12.736760176963719,11.402050176377656,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908544,0.06733506575127175,0.12025149515112128,11.930801875545637,,,,33.150528931312415,1.802648447886295e-33,0.001996007984031936,0.007732817822136394,10.99698701945709,9.174527862589693,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908547,0.05185199504457043,0.10007911010756872,105.89490198415736,,,,11.307201215857528,7.12727305133569e-11,0.001996007984031936,0.008602777652336002,14.045748433742181,13.005652826613003,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908551,0.08472301059411587,0.1334060176882965,144.17298568916706,,,,81.3004167737299,9.635641253663623e-83,0.001996007984031936,0.007992167117236616,12.13565816269187,10.122547429233668,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908555,0.1549742900544953,0.2692142075812774,56.83298550856065,,,,128.44146326887645,2.056274594860845e-129,0.001996007984031936,0.008279566360407069,15.81235721284279,12.455619133888897,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908583,0.03549557067341043,0.05589571144844591,14.303523413442953,,,,3.63357166007529,0.0027710722475664568,0.001996007984031936,0.011321457702029709,9.192209235657034,8.499181864531463,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908591,0.02623756047210646,0.048696652127950546,18.769453021585214,,,,3.9861272693755962,0.0013039899560236404,0.001996007984031936,0.009154400583609898,17.239209025058376,16.412215564850666,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908621,0.10915885562258175,0.16133798278288897,85.15305812105228,,,,68.36489512923511,1.1795336571697757e-69,0.001996007984031936,0.007827602420677648,13.899088532736114,11.428025722958646,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908653,0.10274240648069101,0.2088296621644844,66.12814285399577,,,,5.277419399787213,7.68618248355242e-05,0.001996007984031936,0.03179452409569533,1.0832050535136795,0.7885668089476211,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908657,0.01873351965918451,0.01792113698238764,118.14840384946157,,,,1.409732941164167,0.21722655132291474,0.09780439121756487,0.010688094916903397,4.271579790405926,4.09005247926483,VISp,sub-707296975_ses-721123822,False
sub-707296975_ses-721123822_950908795,0.3264266034988154,0.5287102957820334,62.66998267054703,,,,241.3308999117384,7.813148083885502e-235,0.001996007984031936,0.016775721518936054,8.673957865616213,3.797205973254878,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908802,0.06849878145335696,0.07086299881110739,59.732535783589924,,,,24.74166904547588,9.551481078299433e-25,0.001996007984031936,0.008313208825739382,7.074160709049786,6.29446330836301,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950908834,0.09986773631881408,0.2030313144866784,82.23315807040797,,,,5.511706158215431,4.5568699990141495e-05,0.001996007984031936,0.024966283244252856,2.1296422702709004,1.7132516864649299,VISp,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950909294,0.10627035671445627,0.19852017864035962,30.622295326485034,,,,35.66968104289801,4.4196322783853375e-36,0.001996007984031936,0.013637290707567631,9.488974806553372,7.441394147719536,VISl,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950909297,0.12038869109587176,0.1928046244679786,8.369234704313653,,,,10.033077666760194,1.410484330773884e-09,0.001996007984031936,0.022182213999752978,1.6687034253622481,1.3535842824053745,VISl,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950909307,0.023300683363905245,0.08736739458772391,76.51182683384339,,,,4.46490601735799,0.0004616520685140835,0.08383233532934131,0.013073543302528233,11.321805468797217,10.324294596028151,VISl,sub-707296975_ses-721123822,True
sub-707296975_ses-721123822_950909331,0.5433660159917684,0.7603608828610039,48.418255250645295,,,,213.45633818897394,1.3477560511076265e-209,0.001996007984031936,0.02701439508207851,14.405417092674075,5.3025188344856025,VISl,sub-707296975_ses-721123822,True
