session,unit,direction,peak_rate,peak_pos,field_start,field_end,field_width,spatial_info,n_spikes_field,is_place_cell,slope,phase0,rho,perm_p
Achilles_10252013,270,R,4.946689783097371,0.45999999999999996,0.24000000000000002,0.72,0.48,0.6740012694090138,128,True,0.7400000000000002,3.584450857299255,-0.03517873069618402,0.06187624750499002
Achilles_10252013,7,L,6.133644712256611,0.26,3.469446951953614e-18,0.68,0.68,0.5527635112833753,176,True,-1.3399999999999999,3.568496989757009,-0.24694735128336234,0.001996007984031936
Achilles_10252013,9,L,10.801925512032835,1.58,1.48,1.6,0.1200000000000001,1.9649564006591467,75,True,-0.11999999999999988,1.6849480649050053,-0.11314666729648522,0.49101796407185627
Achilles_10252013,12,L,3.2762402102890684,0.7,0.28,0.96,0.6799999999999999,0.43571919367322526,80,True,-0.81,5.758601323788259,0.07583023545854367,0.021956087824351298
Achilles_10252013,23,L,5.942768365466547,0.5,0.36,0.72,0.36,0.8951977199080838,87,True,-1.1400000000000001,6.0209061126077295,-0.2141401617670765,0.001996007984031936
Achilles_10252013,27,L,11.649196567509383,0.62,0.12000000000000002,0.8400000000000001,0.7200000000000001,0.6428510005300961,291,True,0.31000000000000005,2.7101417684332954,0.14216400130594714,0.003992015968063872
Achilles_10252013,33,L,16.262196763054337,0.02,3.469446951953614e-18,0.28,0.28,0.7129427782226248,237,True,-0.20999999999999996,4.759176849331044,-0.26372782333714917,0.001996007984031936
Achilles_10252013,51,L,16.626644068886336,0.74,0.52,0.92,0.4,1.547164579028883,234,True,-0.3799999999999999,3.170000993127486,-0.28467877724114193,0.001996007984031936
Achilles_10252013,57,L,40.304706491506636,1.46,1.16,1.6,0.44000000000000017,0.9238352992565735,801,True,-0.6799999999999999,4.2672256809676234,-0.4147258365523252,0.001996007984031936
Achilles_10252013,58,L,8.492373494314036,0.54,0.31999999999999995,0.8400000000000001,0.5200000000000001,1.0535758059924558,174,True,-0.6199999999999999,5.078574174428655,-0.5987836492954,0.001996007984031936
Achilles_10252013,76,L,5.819561046358863,1.58,1.4,1.6,0.20000000000000018,0.8945035242168109,61,True,-0.71,3.661713445148871,-0.09452393172803067,0.46506986027944114
Achilles_10252013,82,L,9.19260029801451,0.74,0.4,1.08,0.68,1.0695453740525642,243,True,-0.41999999999999993,5.478561336066729,-0.2909909644337052,0.001996007984031936
Achilles_10252013,98,L,4.857359523718111,1.54,1.32,1.6,0.28,1.6574898009409664,68,True,-0.6099999999999999,4.021397057164902,-0.5532529116244568,0.001996007984031936
Achilles_10252013,101,L,20.067358686128248,0.26,3.469446951953614e-18,0.64,0.64,0.969332886841219,466,True,-0.5,5.594736693699899,-0.13322653214333002,0.001996007984031936
Achilles_10252013,103,L,4.63725705520016,1.46,0.96,1.6,0.6400000000000001,0.5791881904493451,95,True,-1.62,5.075862584192197,-0.27082915475145,0.00998003992015968
Achilles_10252013,112,L,45.28960296233303,0.1,3.469446951953614e-18,0.28,0.28,2.0826590425223075,628,True,-0.48,4.8783711283199445,-0.34074557642245473,0.001996007984031936
Achilles_10252013,114,L,13.541531906616468,1.42,1.12,1.6,0.48,1.3418288070579618,312,True,-0.6099999999999999,4.6721975865908,-0.3810376932730343,0.001996007984031936
