template,wcorr,slope,p_circ,p_perm,max_p,significant
right,0.3009220366513633,138.51151405754294,0.012468827930174564,0.22443890274314215,0.22443890274314215,False
left,0.3259147236725265,227.88772146035717,0.08977556109725686,0.28428927680798005,0.28428927680798005,False
right,-0.4827568175941992,-271.5257476699245,0.0024937655860349127,0.022443890274314215,0.022443890274314215,True
right,-0.052109795866629297,-18.809577269303993,0.8877805486284289,0.942643391521197,0.942643391521197,False
right,0.15733899258981743,88.91545791292874,0.5336658354114713,0.6134663341645885,0.6134663341645885,False
right,0.16942445090933778,99.33559809691036,0.6758104738154613,0.7605985037406484,0.7605985037406484,False
right,-0.2984998227167675,-120.82281747020347,0.08229426433915212,0.1571072319201995,0.1571072319201995,False
right,0.33892578891886516,224.32799302137718,0.17955112219451372,0.27680798004987534,0.27680798004987534,False
left,-0.3835536286359283,-216.94279831804383,0.08977556109725686,0.1546134663341646,0.1546134663341646,False
left,0.2412634034104746,168.10222356679668,0.33915211970074816,0.4713216957605985,0.4713216957605985,False
right,-0.33950806802991085,-173.93037719457493,0.12967581047381546,0.1745635910224439,0.1745635910224439,False
right,0.15103318550686867,70.41771003886888,0.4912718204488778,0.6458852867830424,0.6458852867830424,False
right,-0.22926706580922057,-74.39905252442523,0.19451371571072318,0.33915211970074816,0.33915211970074816,False
left,-0.08935599184024484,-47.59642501756485,0.8678304239401496,0.9027431421446384,0.9027431421446384,False
right,0.3223012211662003,218.9098960846758,0.16957605985037408,0.30673316708229426,0.30673316708229426,False
right,0.24555712554974948,159.06828324585427,0.30174563591022446,0.47880299251870323,0.47880299251870323,False
right,0.3519659433374351,239.7328657295312,0.0798004987531172,0.24688279301745636,0.24688279301745636,False
right,-0.27736603765656315,-162.60554837785952,0.2942643391521197,0.4488778054862843,0.4488778054862843,False
left,-0.17559729703248522,-96.6045855457078,0.5112219451371571,0.5785536159600998,0.5785536159600998,False
right,0.21612932287260586,88.50219683955478,0.30423940149625933,0.4239401496259352,0.4239401496259352,False
left,0.48817744975203464,313.4257075558436,0.04987531172069826,0.04738154613466334,0.04987531172069826,True
right,-0.18336212907524935,-83.73454721227883,0.43640897755610975,0.6034912718204489,0.6034912718204489,False
left,-0.16293797274246644,-51.71066760452418,0.47381546134663344,0.6259351620947631,0.6259351620947631,False
left,-0.22267581564999198,-211.3028865002277,0.6209476309226932,0.6982543640897756,0.6982543640897756,False
right,0.29833502804170287,161.58074167465298,0.07231920199501247,0.33665835411471323,0.33665835411471323,False
left,0.5748613351807996,330.2202314163072,0.00997506234413965,0.022443890274314215,0.022443890274314215,True
right,-0.2203344597112257,-137.90548287209035,0.3740648379052369,0.6084788029925187,0.6084788029925187,False
right,-0.48852149089567987,-328.28900621971354,0.014962593516209476,0.06733167082294264,0.06733167082294264,False
left,0.29566252492694944,169.2391992484749,0.13466334164588528,0.30673316708229426,0.30673316708229426,False
right,0.06291200902229999,29.211963773357397,0.8902743142144638,0.9451371571072319,0.9451371571072319,False
right,0.13604624436926682,81.35595800417283,0.7007481296758105,0.8179551122194514,0.8179551122194514,False
left,0.25487057214702524,165.48640813513427,0.4538653366583541,0.5461346633416458,0.5461346633416458,False
left,0.4230455790223508,211.8554139511862,0.029925187032418952,0.10723192019950124,0.10723192019950124,False
right,0.158146924930236,76.97461867141149,0.5586034912718204,0.6683291770573566,0.6683291770573566,False
right,-0.05551255597980218,-25.52802253362756,0.942643391521197,0.9576059850374065,0.9576059850374065,False
right,0.18765911605530078,109.64768029328907,0.5885286783042394,0.6533665835411472,0.6533665835411472,False
right,-0.1453245009696716,-71.715743386402,0.6134663341645885,0.7381546134663342,0.7381546134663342,False
left,0.08306852399525658,43.090165744497284,0.8553615960099751,0.9152119700748129,0.9152119700748129,False
left,0.29311792847803453,158.48492117116137,0.1571072319201995,0.30174563591022446,0.30174563591022446,False
right,0.10305258302169558,38.34085631995971,0.7381546134663342,0.8054862842892768,0.8054862842892768,False
left,0.4332265494296175,209.53721103589567,0.029925187032418952,0.04987531172069826,0.04987531172069826,True
left,0.06618588375305721,38.67832889531569,0.8977556109725686,0.940149625935162,0.940149625935162,False
left,-0.5407107957074149,-410.34484108575134,0.032418952618453865,0.08478802992518704,0.08478802992518704,False
right,0.5202252681031373,286.7877601000373,0.004987531172069825,0.029925187032418952,0.029925187032418952,True
right,-0.2741834112714011,-164.82247970043423,0.2593516209476309,0.40648379052369077,0.40648379052369077,False
right,0.09229153281846073,62.29592985696289,0.85785536159601,0.85785536159601,0.85785536159601,False
left,0.21336204034495246,153.0686010771507,0.5037406483790524,0.6583541147132169,0.6583541147132169,False
right,-0.42233771941233644,-288.1030405821551,0.032418952618453865,0.1396508728179551,0.1396508728179551,False
right,0.10535743941011613,50.9736932537517,0.8079800498753117,0.8778054862842892,0.8778054862842892,False
left,-0.17312718911510533,-113.74519184302142,0.5536159600997507,0.7231920199501247,0.7231920199501247,False
left,0.156666173466943,62.61045003682192,0.428927680798005,0.6059850374064838,0.6059850374064838,False
left,0.41036423008761574,310.62807689658564,0.12219451371571072,0.19201995012468828,0.19201995012468828,False
right,-0.10044831624753156,-48.96994968386918,0.8678304239401496,0.912718204488778,0.912718204488778,False
right,-0.22030012929233647,-155.91993350818248,0.5336658354114713,0.628428927680798,0.628428927680798,False
right,0.13285338642835937,99.95824655306355,0.8104738154613467,0.827930174563591,0.827930174563591,False
right,0.19037494916336306,137.04712063096844,0.5112219451371571,0.6932668329177057,0.6932668329177057,False
left,0.21165779115947533,138.26636379198644,0.4713216957605985,0.6134663341645885,0.6134663341645885,False
right,0.14728059645268854,84.93688281220206,0.6708229426433915,0.8154613466334164,0.8154613466334164,False
left,0.2632500481775877,206.58699187882976,0.38902743142144636,0.5112219451371571,0.5112219451371571,False
left,-0.1405708221071704,-58.42567849040825,0.600997506234414,0.7481296758104738,0.7481296758104738,False
left,0.34317777592654636,204.28290950354128,0.1596009975062344,0.1770573566084788,0.1770573566084788,False
right,0.697177417857003,360.17898781606925,0.0024937655860349127,0.0024937655860349127,0.0024937655860349127,True
left,-0.36003783323670485,-162.54210654548626,0.059850374064837904,0.1596009975062344,0.1596009975062344,False
left,-0.2380732103403799,-147.39553223352073,0.26932668329177056,0.41895261845386533,0.41895261845386533,False
left,-0.16330568372271753,-118.10412501094076,0.5910224438902744,0.7556109725685786,0.7556109725685786,False
