session,group,n_units,rep,accuracy,shuffled
719161530,LGd,8,6,0.48497198879551817,0.272563025210084
719161530,LGd,8,7,0.5084313725490196,0.22404761904761905
719161530,LGd,8,8,0.548389355742297,0.2273529411764706
719161530,LGd,8,9,0.4463725490196079,0.2073669467787115
719161530,LGd,8,10,0.5083613445378151,0.2792717086834734
719161530,LGd,8,11,0.6540056022408963,0.26096638655462184
719161530,LGd,8,12,0.603627450980392,0.23253501400560223
719161530,LGd,8,13,0.49162464985994403,0.24574229691876753
719161530,LGd,8,14,0.5217787114845939,0.30092436974789916
719161530,LGd,16,0,0.7692717086834733,0.2675070028011205
719161530,LGd,16,1,0.7190756302521009,0.2658403361344538
719161530,LGd,16,2,0.5568907563025209,0.2725070028011204
719161530,LGd,16,3,0.7558263305322128,0.2693137254901961
719161530,LGd,16,4,0.6907002801120449,0.26084033613445384
719161530,LGd,16,5,0.6589635854341737,0.2557563025210084
719161530,LGd,16,6,0.6672268907563025,0.242436974789916
719161530,LGd,16,7,0.6823809523809524,0.23415966386554624
719161530,LGd,16,8,0.657170868347339,0.2976470588235294
719161530,LGd,16,9,0.6857002801120449,0.286078431372549
719161530,LGd,16,10,0.6203781512605042,0.24259103641456586
719161530,LGd,16,11,0.7258123249299719,0.26420168067226896
719161530,LGd,16,12,0.7357422969187676,0.25434173669467786
